qeury metabbolite,gene,gene_type,modification,DeepVCF score,var
Metabolite:hdca_c,P07000,metabolic,knock out,0.07805916,0.0045791212
Metabolite:hdca_c,P0A8Z0,non-metabolic,knock out,0.07320797,0.012439459
Metabolite:hdca_c,P0ACU5,non-metabolic,knock out,0.07250381,0.021026429
Metabolite:hdca_c,P0AAI9,metabolic,knock out,0.069296524,0.019189151
Metabolite:hdca_c,P0AEN1,metabolic,knock out,0.06743661,0.0053589833
Metabolite:hdca_c,P0AAI5,metabolic,knock out,0.05184358,0.010662707
Metabolite:hdca_c,Q46939,non-metabolic,knock out,0.035009023,0.002846994
Metabolite:hdca_c,P0A7A7,metabolic,knock out,0.034650873,0.0014005519
Metabolite:hdca_c,P0A6U8,metabolic,overexpress,0.034197744,0.0046764887
Metabolite:hdca_c,P0ABG1,metabolic,overexpress,0.034123998,0.004529615
Metabolite:hdca_c,P21177,metabolic,knock out,0.032632258,0.0015718049
Metabolite:hdca_c,P0CF70,non-metabolic,overexpress,0.03092858,0.0038230526
Metabolite:hdca_c,P31119,metabolic,knock out,0.030829562,0.0013127226
Metabolite:hdca_c,P76461,metabolic,knock out,0.030560875,0.0011616967
Metabolite:hdca_c,P0A953,metabolic,knock out,0.030121217,0.0014933846
Metabolite:hdca_c,P23830,metabolic,overexpress,0.02789028,0.0025652673
Metabolite:hdca_c,Q47146,metabolic,knock out,0.027119694,0.0007145583
Metabolite:hdca_c,P77399,metabolic,knock out,0.026724448,0.0010111245
Metabolite:hdca_c,P0AEK2,metabolic,knock out,0.026623938,0.0023548824
Metabolite:hdca_c,P38135,metabolic,knock out,0.026088232,0.002628747
Metabolite:hdca_c,P0AGG2,metabolic,knock out,0.02380664,0.0012154318
Metabolite:hdca_c,P0A9U8,metabolic,knock out,0.022053527,0.0011702492
Metabolite:hdca_c,P0A6U8,metabolic,knock out,0.019819474,0.00157122
Metabolite:hdca_c,P76503,metabolic,knock out,0.018333789,0.0005462756
Metabolite:hdca_c,P21151,metabolic,knock out,0.018092439,0.00056198717
Metabolite:hdca_c,P69451,metabolic,knock out,0.017968357,0.00053454086
Metabolite:hdca_c,P0A6R0,metabolic,knock out,0.01458438,0.0008145957
Metabolite:hdca_c,P0A6Q3,metabolic,knock out,0.013983123,0.00029310345
Metabolite:hdca_c,P0A6Q6,metabolic,knock out,0.012896535,0.0002590305
Metabolite:hdca_c,P0ADA1,metabolic,knock out,0.012289203,0.00060226826
Metabolite:hdca_c,P0CF70,non-metabolic,knock out,0.009857559,0.00038746514
Metabolite:hdca_c,P39196,metabolic,overexpress,0.009529824,0.00036309304
Metabolite:hdca_c,P0ADQ2,non-metabolic,overexpress,0.009377012,0.00035112855
Metabolite:hdca_c,P26647,metabolic,knock out,0.0077717775,0.00015454437
Metabolite:hdca_c,P0A9C9,metabolic,overexpress,0.006989054,0.00018432875
Metabolite:hdca_c,P0A8K1,metabolic,overexpress,0.006745422,0.00015666094
Metabolite:hdca_c,P76091,non-metabolic,knock out,0.00673185,8.93883e-05
Metabolite:hdca_c,P0AB28,non-metabolic,overexpress,0.006098687,0.00014870425
Metabolite:hdca_c,P36659,non-metabolic,knock out,0.005949396,0.00014153373
Metabolite:hdca_c,P0A790,metabolic,overexpress,0.005667397,0.00012838792
Metabolite:hdca_c,P0AFL6,metabolic,knock out,0.004685925,8.744037e-05
Metabolite:hdca_c,P0A840,metabolic,knock out,0.004601997,5.2284526e-05
Metabolite:hdca_c,P0AB28,non-metabolic,knock out,0.0041588824,6.88076e-05
Metabolite:hdca_c,P37766,metabolic,overexpress,0.003995349,6.384404e-05
Metabolite:hdca_c,P0ABD8,metabolic,knock out,0.0036171384,5.2326075e-05
Metabolite:hdca_c,P0ADQ2,non-metabolic,knock out,0.0033490823,4.485228e-05
Metabolite:hdca_c,P24182,metabolic,knock out,0.0033357106,4.4484805e-05
Metabolite:hdca_c,P24182,metabolic,overexpress,0.0033054997,4.3642038e-05
Metabolite:hdca_c,P0A6Y8,non-metabolic,knock out,0.0029697816,3.5272205e-05
Metabolite:hdca_c,P69776,metabolic,knock out,0.0026082254,2.7206333e-05
Metabolite:hdca_c,P06959,metabolic,overexpress,0.002596693,7.341167e-06
Metabolite:hdca_c,P77747,metabolic,knock out,0.0023975845,2.2973525e-05
Metabolite:hdca_c,P27247,metabolic,knock out,0.002331794,1.7888271e-05
Metabolite:hdca_c,P60782,metabolic,overexpress,0.002214655,1.8995375e-05
Metabolite:hdca_c,P0A6Y8,non-metabolic,overexpress,0.0019504195,1.5216005e-05
Metabolite:hdca_c,P0ABG1,metabolic,knock out,0.0019062955,7.157404e-06
Metabolite:hdca_c,P0A9H7,metabolic,knock out,0.0018668566,1.3933211e-05
Metabolite:hdca_c,P0ABD8,metabolic,overexpress,0.0016881007,1.1391809e-05
Metabolite:hdca_c,P0AFL6,metabolic,overexpress,0.0016646555,1.1082919e-05
Metabolite:hdca_c,P0A993,metabolic,overexpress,0.0015771413,9.878566e-06
Metabolite:hdca_c,P0A6F5,non-metabolic,knock out,0.0015431453,9.5250625e-06
Metabolite:hdca_c,P75919,non-metabolic,overexpress,0.0014937026,8.902385e-06
Metabolite:hdca_c,P0AE12,metabolic,knock out,0.0011670241,5.445345e-06
Metabolite:hdca_c,P27247,metabolic,overexpress,0.0011122137,1.7549471e-06
Metabolite:hdca_c,P60782,metabolic,knock out,0.0010287386,4.212887e-06
Metabolite:hdca_c,P0AFG8,metabolic,overexpress,0.00097277743,3.7644393e-06
Metabolite:hdca_c,P0AGM2,non-metabolic,overexpress,0.0009312231,2.8777679e-06
Metabolite:hdca_c,P27828,metabolic,overexpress,0.00081985316,2.6276775e-06
Metabolite:hdca_c,P31057,metabolic,overexpress,0.0007710971,2.3782559e-06
Metabolite:hdca_c,P69776,metabolic,overexpress,0.0007208535,2.0590505e-06
Metabolite:hdca_c,P42912,non-metabolic,overexpress,0.00067726115,1.8279659e-06
Metabolite:hdca_c,P21437,metabolic,overexpress,0.0006598613,1.6705283e-06
Metabolite:hdca_c,P77712,non-metabolic,overexpress,0.0006368365,4.1891658e-07
Metabolite:hdca_c,P0A917,non-metabolic,overexpress,0.00060433644,1.4574134e-06
Metabolite:hdca_c,P27828,metabolic,knock out,0.0005849295,1.2798708e-06
Metabolite:hdca_c,P0ABD5,metabolic,overexpress,0.00050629483,6.04051e-07
Metabolite:hdca_c,P0ABN1,metabolic,overexpress,0.0004924217,7.216401e-07
Metabolite:hdca_c,P06959,metabolic,knock out,0.0004900614,4.4455646e-07
