qeury metabbolite,gene,gene_type,modification,DeepVCF score,var
Metabolite:hdca_c,P33221,metabolic,overexpress,4.311571e-07,6.134641e-13
Metabolite:hdca_c,P0A7V0,non-metabolic,knock out,4.2948173e-07,7.3291286e-13
Metabolite:hdca_c,P0A7U3,non-metabolic,knock out,4.2925063e-07,7.288648e-13
Metabolite:hdca_c,P76561,non-metabolic,knock out,4.2907513e-07,5.7304075e-13
Metabolite:hdca_c,P0AEJ4,non-metabolic,knock out,4.2660574e-07,6.0186437e-13
Metabolite:hdca_c,P37664,non-metabolic,overexpress,4.2633505e-07,7.1614513e-13
Metabolite:hdca_c,P0ADX1,non-metabolic,overexpress,4.2604924e-07,5.596161e-13
Metabolite:hdca_c,P05042,metabolic,overexpress,4.2355006e-07,3.8748025e-13
Metabolite:hdca_c,P0AEV1,non-metabolic,knock out,4.218954e-07,6.1538025e-13
Metabolite:hdca_c,P0A8B5,non-metabolic,knock out,4.2096084e-07,3.1473676e-13
Metabolite:hdca_c,P32171,metabolic,overexpress,4.1996825e-07,6.945243e-13
Metabolite:hdca_c,P36938,metabolic,knock out,4.190512e-07,2.1732803e-13
Metabolite:hdca_c,P31660,metabolic,overexpress,4.1527343e-07,1.836602e-13
Metabolite:hdca_c,P0AFL3,non-metabolic,overexpress,4.142512e-07,6.861314e-13
Metabolite:hdca_c,P0AGE0,non-metabolic,knock out,4.0809672e-07,6.620942e-13
Metabolite:hdca_c,P31551,metabolic,overexpress,3.9993202e-07,5.462399e-13
Metabolite:hdca_c,P00944,metabolic,knock out,3.9550355e-07,4.1071037e-13
Metabolite:hdca_c,P76628,non-metabolic,overexpress,3.927931e-07,6.1452395e-13
Metabolite:hdca_c,P77390,non-metabolic,knock out,3.880767e-07,5.9625487e-13
Metabolite:hdca_c,P07004,metabolic,overexpress,3.8790682e-07,5.8943784e-13
Metabolite:hdca_c,P77580,metabolic,overexpress,3.840903e-07,2.11398e-13
Metabolite:hdca_c,P37747,metabolic,overexpress,3.840371e-07,3.6121586e-13
Metabolite:hdca_c,P0AGJ9,non-metabolic,knock out,3.8211417e-07,5.7376814e-13
Metabolite:hdca_c,P64519,non-metabolic,knock out,3.8149946e-07,3.7698802e-13
Metabolite:hdca_c,P37306,metabolic,knock out,3.8148792e-07,5.787158e-13
Metabolite:hdca_c,P0AFP4,metabolic,knock out,3.8134615e-07,5.5770335e-13
Metabolite:hdca_c,P31801,non-metabolic,overexpress,3.8035625e-07,5.6813007e-13
Metabolite:hdca_c,P0AFR0,non-metabolic,overexpress,3.7969178e-07,2.6944565e-13
Metabolite:hdca_c,P10384,metabolic,overexpress,3.7827854e-07,5.516881e-13
Metabolite:hdca_c,P0ABE9,metabolic,overexpress,3.7566127e-07,4.323069e-13
Metabolite:hdca_c,P76556,non-metabolic,overexpress,3.743665e-07,1.661181e-13
Metabolite:hdca_c,P0ACC3,non-metabolic,knock out,3.730348e-07,3.0426987e-13
Metabolite:hdca_c,P39389,non-metabolic,knock out,3.729165e-07,5.551844e-13
Metabolite:hdca_c,P0A9A9,non-metabolic,knock out,3.726055e-07,4.546004e-13
Metabolite:hdca_c,P0AE58,non-metabolic,overexpress,3.721936e-07,3.3434618e-13
Metabolite:hdca_c,P0AFC7,metabolic,knock out,3.7171193e-07,5.143415e-13
Metabolite:hdca_c,P0A9Q5,metabolic,overexpress,3.7066846e-07,2.2186087e-13
Metabolite:hdca_c,P06612,non-metabolic,knock out,3.6982073e-07,2.2917597e-13
Metabolite:hdca_c,P09373,metabolic,overexpress,3.6589142e-07,2.82977e-13
Metabolite:hdca_c,P05791,metabolic,overexpress,3.6504917e-07,1.9956508e-13
Metabolite:hdca_c,P65294,non-metabolic,overexpress,3.6465323e-07,5.299048e-13
Metabolite:hdca_c,Q93K97,metabolic,knock out,3.6421181e-07,2.8737359e-13
Metabolite:hdca_c,P19925,metabolic,knock out,3.6064506e-07,5.198362e-13
Metabolite:hdca_c,P75697,non-metabolic,knock out,3.5848953e-07,1.4781156e-13
Metabolite:hdca_c,P0A9K3,non-metabolic,knock out,3.5626806e-07,3.8579057e-13
Metabolite:hdca_c,P21513,non-metabolic,overexpress,3.5493096e-07,5.003917e-13
Metabolite:hdca_c,P77475,metabolic,knock out,3.5403477e-07,4.48805e-13
Metabolite:hdca_c,P42593,non-metabolic,knock out,3.5193057e-07,4.7121725e-13
Metabolite:hdca_c,P0AFY2,non-metabolic,knock out,3.5142085e-07,2.6404774e-13
Metabolite:hdca_c,P39370,non-metabolic,knock out,3.5068865e-07,1.1747629e-13
Metabolite:hdca_c,P33022,metabolic,knock out,3.4894572e-07,4.865031e-13
Metabolite:hdca_c,P0A8N0,non-metabolic,knock out,3.4715228e-07,3.7072428e-13
Metabolite:hdca_c,P09394,metabolic,overexpress,3.447512e-07,4.423161e-13
Metabolite:hdca_c,P17334,metabolic,overexpress,3.4437e-07,4.727568e-13
Metabolite:hdca_c,P0A705,non-metabolic,knock out,3.4329221e-07,3.8758704e-13
Metabolite:hdca_c,P0A6J3,non-metabolic,knock out,3.4284798e-07,1.3608477e-13
Metabolite:hdca_c,P0AB52,non-metabolic,overexpress,3.4148454e-07,4.3152344e-13
Metabolite:hdca_c,P0A910,non-metabolic,knock out,3.4110343e-07,4.2989584e-13
Metabolite:hdca_c,P0AC38,metabolic,overexpress,3.3778406e-07,3.4743058e-13
Metabolite:hdca_c,P30011,metabolic,overexpress,3.3628518e-07,4.2068093e-13
Metabolite:hdca_c,P0C018,non-metabolic,knock out,3.3532783e-07,3.4736444e-13
Metabolite:hdca_c,P0A799,metabolic,overexpress,3.3465895e-07,1.1934467e-13
Metabolite:hdca_c,P68699,non-metabolic,knock out,3.34542e-07,1.6428414e-13
Metabolite:hdca_c,P0AEY8,non-metabolic,overexpress,3.3372731e-07,4.4525017e-13
Metabolite:hdca_c,P46118,non-metabolic,knock out,3.29675e-07,3.3319845e-13
Metabolite:hdca_c,P39408,non-metabolic,overexpress,3.292128e-07,1.6220624e-13
Metabolite:hdca_c,P0ACY3,non-metabolic,overexpress,3.289038e-07,4.2183504e-13
Metabolite:hdca_c,P0AG30,non-metabolic,overexpress,3.2862155e-07,1.1476123e-13
Metabolite:hdca_c,P15770,metabolic,knock out,3.277632e-07,3.6290643e-13
Metabolite:hdca_c,P0A7B3,metabolic,knock out,3.2524312e-07,1.2294882e-13
Metabolite:hdca_c,P0A8R7,non-metabolic,overexpress,3.2242278e-07,2.066122e-13
Metabolite:hdca_c,Q47706,non-metabolic,overexpress,3.21468e-07,4.0292948e-13
Metabolite:hdca_c,P11988,metabolic,knock out,3.2078495e-07,2.6740833e-13
Metabolite:hdca_c,Q46843,non-metabolic,knock out,3.2054604e-07,3.9249132e-13
Metabolite:hdca_c,P12008,metabolic,knock out,3.203166e-07,1.5258995e-13
Metabolite:hdca_c,P0ACI3,non-metabolic,knock out,3.1918657e-07,1.545844e-13
Metabolite:hdca_c,P09151,metabolic,knock out,3.1851894e-07,2.7363696e-13
Metabolite:hdca_c,P18843,metabolic,overexpress,3.177946e-07,2.3282645e-13
Metabolite:hdca_c,P0ADS6,non-metabolic,knock out,3.148148e-07,3.696171e-13
Metabolite:hdca_c,P0A6U3,non-metabolic,overexpress,3.1467275e-07,3.3835296e-13
Metabolite:hdca_c,P03004,non-metabolic,knock out,3.141871e-07,3.5013534e-13
Metabolite:hdca_c,P0A8Y3,metabolic,knock out,3.1279575e-07,3.3488614e-13
Metabolite:hdca_c,P00864,metabolic,knock out,3.1126157e-07,1.4629247e-13
Metabolite:hdca_c,P32668,non-metabolic,knock out,3.108033e-07,3.4633892e-13
Metabolite:hdca_c,P64429,non-metabolic,overexpress,3.106729e-07,2.918405e-13
Metabolite:hdca_c,P0A6G3,metabolic,overexpress,3.0935317e-07,1.3353666e-13
Metabolite:hdca_c,P0AE58,non-metabolic,knock out,3.084238e-07,2.586265e-13
Metabolite:hdca_c,P32099,metabolic,knock out,3.060605e-07,3.220103e-13
Metabolite:hdca_c,P77624,non-metabolic,knock out,3.0594938e-07,3.480443e-13
Metabolite:hdca_c,P0A8N0,non-metabolic,overexpress,3.052683e-07,3.65966e-13
Metabolite:hdca_c,P0A8J8,non-metabolic,overexpress,3.016229e-07,2.7812908e-13
Metabolite:hdca_c,P13669,non-metabolic,knock out,2.9907503e-07,3.5579046e-13
Metabolite:hdca_c,P75822,non-metabolic,overexpress,2.953627e-07,1.5459945e-13
Metabolite:hdca_c,P00722,metabolic,knock out,2.9523562e-07,3.1398056e-13
Metabolite:hdca_c,P0A7U7,non-metabolic,knock out,2.951626e-07,3.4608197e-13
Metabolite:hdca_c,P0C8K0,metabolic,overexpress,2.94664e-07,3.4723442e-13
Metabolite:hdca_c,P75822,non-metabolic,knock out,2.9452005e-07,1.6301893e-13
Metabolite:hdca_c,P0DSF4,non-metabolic,knock out,2.9347586e-07,2.2914185e-13
Metabolite:hdca_c,P07118,non-metabolic,knock out,2.925144e-07,2.9811722e-13
Metabolite:hdca_c,P23367,non-metabolic,knock out,2.921623e-07,2.8094752e-13
Metabolite:hdca_c,P23836,non-metabolic,overexpress,2.9142578e-07,3.3524306e-13
Metabolite:hdca_c,P18393,non-metabolic,knock out,2.913471e-07,3.2816493e-13
Metabolite:hdca_c,P23325,non-metabolic,overexpress,2.909668e-07,2.3443294e-13
Metabolite:hdca_c,P77736,non-metabolic,overexpress,2.907413e-07,3.3699332e-13
Metabolite:hdca_c,P0ABT2,non-metabolic,overexpress,2.90579e-07,3.36677e-13
Metabolite:hdca_c,P04951,metabolic,knock out,2.8980367e-07,6.5894095e-14
Metabolite:hdca_c,P13033,metabolic,overexpress,2.8669626e-07,2.5111104e-13
Metabolite:hdca_c,P62615,metabolic,knock out,2.86122e-07,3.1859376e-13
Metabolite:hdca_c,P24224,metabolic,overexpress,2.8490362e-07,1.2516293e-13
Metabolite:hdca_c,P75942,non-metabolic,overexpress,2.8455483e-07,3.1265534e-13
Metabolite:hdca_c,P45753,non-metabolic,overexpress,2.840388e-07,3.2192584e-13
Metabolite:hdca_c,P77243,metabolic,overexpress,2.8215283e-07,3.1564204e-13
Metabolite:hdca_c,P0ADD2,non-metabolic,knock out,2.8184442e-07,3.1585124e-13
Metabolite:hdca_c,P0A6T3,metabolic,knock out,2.8171354e-07,2.6032404e-13
Metabolite:hdca_c,P0A8Y3,metabolic,overexpress,2.7946007e-07,2.6883904e-13
Metabolite:hdca_c,P0ABC0,non-metabolic,overexpress,2.7867358e-07,2.95727e-13
Metabolite:hdca_c,P22586,non-metabolic,overexpress,2.78291e-07,2.4590318e-13
Metabolite:hdca_c,P60546,metabolic,knock out,2.7780547e-07,2.8227502e-13
Metabolite:hdca_c,P24242,non-metabolic,overexpress,2.7749076e-07,1.4852178e-13
Metabolite:hdca_c,P00959,non-metabolic,knock out,2.773789e-07,1.1971366e-13
Metabolite:hdca_c,P0AEH1,non-metabolic,knock out,2.7714222e-07,1.01166525e-13
Metabolite:hdca_c,P02932,metabolic,overexpress,2.7585827e-07,1.8492979e-13
Metabolite:hdca_c,P0CF56,non-metabolic,knock out,2.753094e-07,6.3472075e-14
Metabolite:hdca_c,P0A6S0,non-metabolic,knock out,2.74911e-07,1.1186778e-13
Metabolite:hdca_c,P21362,non-metabolic,overexpress,2.7391812e-07,2.995194e-13
Metabolite:hdca_c,P61517,metabolic,overexpress,2.7380636e-07,2.1396842e-13
Metabolite:hdca_c,P76556,non-metabolic,knock out,2.7305154e-07,1.9295394e-13
Metabolite:hdca_c,P0AER8,metabolic,overexpress,2.72358e-07,2.9656838e-13
Metabolite:hdca_c,P75961,non-metabolic,overexpress,2.703625e-07,2.9135798e-13
Metabolite:hdca_c,P0A6T3,metabolic,overexpress,2.6995738e-07,2.890102e-13
Metabolite:hdca_c,P05707,metabolic,overexpress,2.691658e-07,2.1156907e-13
Metabolite:hdca_c,P0A8B2,non-metabolic,knock out,2.6819495e-07,2.87176e-13
Metabolite:hdca_c,P37344,non-metabolic,overexpress,2.6288555e-07,1.4175667e-13
Metabolite:hdca_c,P0A6J3,non-metabolic,overexpress,2.6185316e-07,2.517678e-13
Metabolite:hdca_c,P0A7W7,non-metabolic,knock out,2.605195e-07,2.2734874e-13
Metabolite:hdca_c,P0A8T5,non-metabolic,knock out,2.592357e-07,1.2294037e-13
Metabolite:hdca_c,P27832,metabolic,overexpress,2.5813083e-07,1.6007176e-13
Metabolite:hdca_c,P0A9S5,metabolic,overexpress,2.5731146e-07,1.9948995e-13
Metabolite:hdca_c,P50457,metabolic,knock out,2.5629853e-07,2.4016642e-13
Metabolite:hdca_c,P11868,metabolic,overexpress,2.556384e-07,8.535632e-14
Metabolite:hdca_c,P23874,non-metabolic,knock out,2.5503866e-07,2.5759695e-13
Metabolite:hdca_c,P77504,non-metabolic,knock out,2.5261895e-07,1.17883e-13
Metabolite:hdca_c,P0AC98,metabolic,overexpress,2.50635e-07,2.4943592e-13
Metabolite:hdca_c,P13024,non-metabolic,knock out,2.4914746e-07,2.3083177e-13
Metabolite:hdca_c,P43341,metabolic,knock out,2.490757e-07,2.4636258e-13
Metabolite:hdca_c,P27832,metabolic,knock out,2.4834932e-07,9.5938055e-14
Metabolite:hdca_c,P69346,non-metabolic,knock out,2.4834142e-07,2.455004e-13
Metabolite:hdca_c,Q46856,metabolic,overexpress,2.4793127e-07,6.141597e-14
Metabolite:hdca_c,P0A8N3,non-metabolic,knock out,2.4686094e-07,2.331008e-13
Metabolite:hdca_c,P75794,non-metabolic,overexpress,2.4632914e-07,7.926882e-14
Metabolite:hdca_c,P64578,non-metabolic,knock out,2.460747e-07,1.964964e-13
Metabolite:hdca_c,P0A7Y0,non-metabolic,knock out,2.4581126e-07,2.40041e-13
Metabolite:hdca_c,P11553,metabolic,knock out,2.44122e-07,2.116834e-13
Metabolite:hdca_c,P08373,metabolic,overexpress,2.4397102e-07,2.3709065e-13
Metabolite:hdca_c,P10423,non-metabolic,knock out,2.422814e-07,1.7385331e-13
Metabolite:hdca_c,P0AA25,metabolic,knock out,2.4165328e-07,8.727396e-14
Metabolite:hdca_c,P0A7Z0,metabolic,overexpress,2.4067865e-07,1.00263907e-13
Metabolite:hdca_c,P28632,non-metabolic,knock out,2.400853e-07,2.1871715e-13
Metabolite:hdca_c,P0A717,metabolic,overexpress,2.3927882e-07,7.922825e-14
Metabolite:hdca_c,P0A720,metabolic,knock out,2.3822227e-07,2.2588231e-13
Metabolite:hdca_c,P24255,non-metabolic,overexpress,2.3706899e-07,1.8850214e-13
Metabolite:hdca_c,P0AEW9,metabolic,knock out,2.3678152e-07,2.1763353e-13
Metabolite:hdca_c,P52643,metabolic,overexpress,2.3678095e-07,1.37194e-13
Metabolite:hdca_c,P03023,non-metabolic,knock out,2.3651215e-07,1.3699098e-13
Metabolite:hdca_c,P0A843,non-metabolic,knock out,2.3355656e-07,2.1806114e-13
Metabolite:hdca_c,P52102,non-metabolic,knock out,2.3049823e-07,1.9592842e-13
Metabolite:hdca_c,P05194,metabolic,knock out,2.2983582e-07,5.994635e-14
Metabolite:hdca_c,P69924,metabolic,knock out,2.2860421e-07,1.7273978e-13
Metabolite:hdca_c,P25742,metabolic,overexpress,2.2807625e-07,1.8654308e-13
Metabolite:hdca_c,P0ACI0,non-metabolic,overexpress,2.2785721e-07,1.386233e-13
Metabolite:hdca_c,P77649,non-metabolic,knock out,2.2762723e-07,1.9906621e-13
Metabolite:hdca_c,P0A9C5,metabolic,overexpress,2.2671784e-07,1.02336454e-13
Metabolite:hdca_c,P33599,metabolic,overexpress,2.260269e-07,9.5003995e-14
Metabolite:hdca_c,G3MTW7,non-metabolic,overexpress,2.2516438e-07,2.0235904e-13
Metabolite:hdca_c,P0AFC7,metabolic,overexpress,2.2450614e-07,1.660836e-13
Metabolite:hdca_c,P0ABY7,non-metabolic,knock out,2.2415864e-07,9.1533463e-14
Metabolite:hdca_c,P0A6I3,metabolic,knock out,2.2414706e-07,1.1830135e-13
Metabolite:hdca_c,P76072,non-metabolic,overexpress,2.2411582e-07,2.0055409e-13
Metabolite:hdca_c,P0A7G6,non-metabolic,knock out,2.239751e-07,1.1209564e-13
Metabolite:hdca_c,P16528,non-metabolic,knock out,2.2275636e-07,1.181312e-13
Metabolite:hdca_c,P77390,non-metabolic,overexpress,2.226972e-07,1.9784074e-13
Metabolite:hdca_c,P22259,metabolic,knock out,2.2244042e-07,1.663921e-13
Metabolite:hdca_c,P23538,metabolic,overexpress,2.2221626e-07,1.6937863e-13
Metabolite:hdca_c,P69931,non-metabolic,overexpress,2.2186275e-07,1.819868e-14
Metabolite:hdca_c,P42909,non-metabolic,overexpress,2.2170582e-07,8.453939e-14
Metabolite:hdca_c,P0DMC9,non-metabolic,knock out,2.2000593e-07,1.8508795e-13
Metabolite:hdca_c,P0AB91,metabolic,knock out,2.1734444e-07,1.6961629e-13
Metabolite:hdca_c,P77395,non-metabolic,overexpress,2.1722587e-07,1.8809314e-13
Metabolite:hdca_c,P76658,metabolic,knock out,2.1713618e-07,3.367296e-14
Metabolite:hdca_c,P0A6Y1,non-metabolic,knock out,2.1394676e-07,1.7826023e-13
Metabolite:hdca_c,P0A8N5,metabolic,knock out,2.1388112e-07,1.6886125e-13
Metabolite:hdca_c,P27896,non-metabolic,knock out,2.1331644e-07,1.804914e-13
Metabolite:hdca_c,P0ADI4,metabolic,knock out,2.1318176e-07,1.163937e-13
Metabolite:hdca_c,P60340,non-metabolic,knock out,2.1310628e-07,1.7239629e-13
Metabolite:hdca_c,P0A9N4,metabolic,knock out,2.1279166e-07,5.0946508e-14
Metabolite:hdca_c,P18133,metabolic,overexpress,2.127139e-07,1.6789894e-13
Metabolite:hdca_c,P03061,non-metabolic,knock out,2.1209787e-07,1.1961124e-13
Metabolite:hdca_c,P12999,metabolic,overexpress,2.1002386e-07,1.7504398e-13
Metabolite:hdca_c,P0ACF4,non-metabolic,overexpress,2.0788423e-07,1.6511285e-13
Metabolite:hdca_c,P26602,metabolic,knock out,2.0786779e-07,6.4217633e-14
Metabolite:hdca_c,P18393,non-metabolic,overexpress,2.0750637e-07,1.6405502e-13
Metabolite:hdca_c,P0A6H1,non-metabolic,knock out,2.070452e-07,1.559425e-13
Metabolite:hdca_c,P39901,non-metabolic,knock out,2.068876e-07,1.7097932e-13
Metabolite:hdca_c,P45799,metabolic,overexpress,2.0639065e-07,1.6695755e-13
Metabolite:hdca_c,P33030,metabolic,knock out,2.0390364e-07,1.6143667e-13
Metabolite:hdca_c,P0ABA0,non-metabolic,knock out,2.0384648e-07,1.5411193e-13
Metabolite:hdca_c,P08622,non-metabolic,overexpress,2.0346657e-07,1.3899908e-13
Metabolite:hdca_c,P21889,non-metabolic,knock out,2.0331662e-07,1.3713729e-13
Metabolite:hdca_c,P0ACF8,non-metabolic,knock out,2.03258e-07,1.4059709e-13
Metabolite:hdca_c,P68699,non-metabolic,overexpress,2.029764e-07,1.5428244e-13
Metabolite:hdca_c,P77319,non-metabolic,knock out,2.0269185e-07,1.1170387e-13
Metabolite:hdca_c,P0A6F1,metabolic,overexpress,2.0251433e-07,1.634041e-13
Metabolite:hdca_c,P24230,non-metabolic,knock out,2.0174703e-07,1.4752545e-13
Metabolite:hdca_c,Q47157,non-metabolic,knock out,2.0156786e-07,1.6217816e-13
Metabolite:hdca_c,P06864,non-metabolic,overexpress,2.003516e-07,8.881722e-14
Metabolite:hdca_c,P08200,metabolic,knock out,1.9868021e-07,1.4785653e-13
Metabolite:hdca_c,P0AFZ3,non-metabolic,knock out,1.9861885e-07,5.4536365e-14
Metabolite:hdca_c,P0AD61,metabolic,overexpress,1.975108e-07,5.718046e-14
Metabolite:hdca_c,P52130,non-metabolic,knock out,1.962934e-07,1.5406941e-13
Metabolite:hdca_c,P0AFF6,non-metabolic,knock out,1.9610627e-07,9.728287e-14
Metabolite:hdca_c,P0A9K3,non-metabolic,overexpress,1.9608868e-07,1.4820972e-13
Metabolite:hdca_c,A8DYP9,non-metabolic,knock out,1.959063e-07,1.4612243e-13
Metabolite:hdca_c,P0ACA7,non-metabolic,overexpress,1.9572776e-07,1.5278413e-13
Metabolite:hdca_c,P0AGG4,metabolic,knock out,1.9545728e-07,1.4860975e-13
Metabolite:hdca_c,P23930,metabolic,knock out,1.9496156e-07,4.3150088e-14
Metabolite:hdca_c,P0AEH5,non-metabolic,knock out,1.9405361e-07,1.4039102e-13
Metabolite:hdca_c,P0DMC7,non-metabolic,knock out,1.9373935e-07,1.4681596e-13
Metabolite:hdca_c,P52612,non-metabolic,overexpress,1.9244867e-07,1.4236163e-13
Metabolite:hdca_c,P0AG40,metabolic,knock out,1.9185516e-07,1.4669791e-13
Metabolite:hdca_c,P27836,metabolic,knock out,1.917028e-07,1.364429e-13
Metabolite:hdca_c,P09169,non-metabolic,knock out,1.9133039e-07,6.25181e-14
Metabolite:hdca_c,P07464,non-metabolic,knock out,1.9117589e-07,5.5828816e-14
Metabolite:hdca_c,P0AG51,non-metabolic,knock out,1.8879115e-07,5.270233e-14
Metabolite:hdca_c,P54745,metabolic,knock out,1.877586e-07,1.390062e-13
Metabolite:hdca_c,P10902,metabolic,overexpress,1.8729786e-07,1.3433968e-13
Metabolite:hdca_c,Q47150,non-metabolic,knock out,1.8700413e-07,1.398172e-13
Metabolite:hdca_c,P60955,non-metabolic,knock out,1.8694834e-07,1.007888e-13
Metabolite:hdca_c,P0A6F9,non-metabolic,knock out,1.8650375e-07,1.2406203e-13
Metabolite:hdca_c,P15006,non-metabolic,overexpress,1.8607274e-07,7.349781e-14
Metabolite:hdca_c,Q46791,non-metabolic,knock out,1.854907e-07,5.786617e-14
Metabolite:hdca_c,P0AAA7,metabolic,overexpress,1.8487985e-07,1.0602603e-13
Metabolite:hdca_c,P76538,non-metabolic,overexpress,1.8447064e-07,1.3093636e-13
Metabolite:hdca_c,P31572,metabolic,overexpress,1.842779e-07,1.3449444e-13
Metabolite:hdca_c,P0A940,non-metabolic,knock out,1.8365286e-07,6.224982e-14
Metabolite:hdca_c,P0A710,non-metabolic,knock out,1.831249e-07,1.331449e-13
Metabolite:hdca_c,P77544,non-metabolic,overexpress,1.815018e-07,1.3153342e-13
Metabolite:hdca_c,P42907,non-metabolic,knock out,1.8000935e-07,1.2909407e-13
Metabolite:hdca_c,P07018,non-metabolic,knock out,1.7985056e-07,1.216449e-13
Metabolite:hdca_c,P0A6M8,non-metabolic,overexpress,1.7952668e-07,4.910508e-14
Metabolite:hdca_c,P22523,non-metabolic,knock out,1.7841408e-07,5.2015477e-14
Metabolite:hdca_c,P25718,metabolic,knock out,1.7790809e-07,1.2283294e-13
Metabolite:hdca_c,P60716,metabolic,knock out,1.7780165e-07,1.248937e-13
Metabolite:hdca_c,P62620,metabolic,overexpress,1.7757188e-07,1.2380442e-13
Metabolite:hdca_c,P0A9D4,metabolic,knock out,1.7531688e-07,6.2981684e-14
Metabolite:hdca_c,P0A9J4,metabolic,overexpress,1.7489246e-07,6.656627e-14
Metabolite:hdca_c,P00579,non-metabolic,knock out,1.7453051e-07,9.318475e-14
Metabolite:hdca_c,P77569,non-metabolic,knock out,1.7348871e-07,1.1878869e-13
Metabolite:hdca_c,P26646,metabolic,overexpress,1.7327987e-07,2.4872262e-14
Metabolite:hdca_c,P20966,metabolic,knock out,1.7321229e-07,1.1226111e-13
Metabolite:hdca_c,P0A6W9,metabolic,overexpress,1.6948206e-07,1.1303096e-13
Metabolite:hdca_c,P07004,metabolic,knock out,1.6918732e-07,7.6587486e-14
Metabolite:hdca_c,P23836,non-metabolic,knock out,1.684804e-07,7.0413334e-14
Metabolite:hdca_c,P0AEC0,non-metabolic,overexpress,1.6802316e-07,4.463291e-14
Metabolite:hdca_c,P17444,metabolic,overexpress,1.6791337e-07,1.1125945e-13
Metabolite:hdca_c,P0AAJ5,metabolic,knock out,1.6742534e-07,1.09261667e-13
Metabolite:hdca_c,P0ADZ0,non-metabolic,knock out,1.6735235e-07,1.0946864e-13
Metabolite:hdca_c,P06996,metabolic,overexpress,1.6716452e-07,3.2933017e-14
Metabolite:hdca_c,P21865,non-metabolic,knock out,1.670318e-07,1.06808103e-13
Metabolite:hdca_c,P0AAA7,metabolic,knock out,1.6603148e-07,9.2088785e-14
Metabolite:hdca_c,P40719,non-metabolic,knock out,1.6573398e-07,7.952562e-14
Metabolite:hdca_c,P09831,metabolic,overexpress,1.6492193e-07,7.365858e-14
Metabolite:hdca_c,P76117,non-metabolic,overexpress,1.646428e-07,1.0482708e-13
Metabolite:hdca_c,P32675,metabolic,knock out,1.6395416e-07,8.4775706e-14
Metabolite:hdca_c,P27278,metabolic,overexpress,1.6355578e-07,4.9340957e-14
Metabolite:hdca_c,P67701,non-metabolic,knock out,1.635201e-07,1.0393984e-13
Metabolite:hdca_c,P0A8V2,non-metabolic,overexpress,1.6317021e-07,6.685144e-14
Metabolite:hdca_c,P25516,metabolic,overexpress,1.6276128e-07,9.962506e-14
Metabolite:hdca_c,P0AGE6,metabolic,knock out,1.6192085e-07,5.2953068e-14
Metabolite:hdca_c,P23256,metabolic,knock out,1.6159822e-07,5.2151703e-14
Metabolite:hdca_c,P0AEL0,metabolic,knock out,1.6075518e-07,9.1881235e-14
Metabolite:hdca_c,P77536,metabolic,knock out,1.6068047e-07,8.02901e-14
Metabolite:hdca_c,P62623,metabolic,knock out,1.60583e-07,8.956761e-14
Metabolite:hdca_c,P0AEC0,non-metabolic,knock out,1.6044716e-07,4.7563455e-14
Metabolite:hdca_c,P07013,non-metabolic,knock out,1.5987023e-07,1.02086274e-13
Metabolite:hdca_c,P21365,non-metabolic,knock out,1.5932926e-07,1.01381285e-13
Metabolite:hdca_c,P76055,non-metabolic,knock out,1.5848674e-07,9.8560266e-14
Metabolite:hdca_c,P15043,non-metabolic,knock out,1.5818742e-07,9.150302e-14
Metabolite:hdca_c,P0A6L0,metabolic,overexpress,1.5817261e-07,9.569915e-14
Metabolite:hdca_c,P0ACR0,non-metabolic,knock out,1.5811803e-07,8.928417e-14
Metabolite:hdca_c,P33228,non-metabolic,knock out,1.5745954e-07,9.854922e-14
Metabolite:hdca_c,P06864,non-metabolic,knock out,1.5737008e-07,9.485472e-14
Metabolite:hdca_c,Q46943,non-metabolic,knock out,1.5707768e-07,9.466089e-14
Metabolite:hdca_c,P0A6B4,metabolic,knock out,1.567181e-07,9.7969714e-14
Metabolite:hdca_c,P27253,metabolic,overexpress,1.5642637e-07,5.3516816e-14
Metabolite:hdca_c,P0A7V8,non-metabolic,knock out,1.5577463e-07,9.6803316e-14
Metabolite:hdca_c,P0A710,non-metabolic,overexpress,1.5543856e-07,4.6593653e-14
Metabolite:hdca_c,P39452,metabolic,knock out,1.5496713e-07,3.5995868e-14
Metabolite:hdca_c,P45523,non-metabolic,knock out,1.548946e-07,9.320019e-14
Metabolite:hdca_c,P0CF54,non-metabolic,knock out,1.5422374e-07,4.1875042e-14
Metabolite:hdca_c,P0A836,metabolic,knock out,1.5415712e-07,1.246359e-14
Metabolite:hdca_c,P42632,metabolic,overexpress,1.5319604e-07,8.3092916e-14
Metabolite:hdca_c,P07639,metabolic,overexpress,1.524928e-07,9.1514666e-14
Metabolite:hdca_c,P0ACP1,non-metabolic,knock out,1.5240965e-07,2.9229067e-14
Metabolite:hdca_c,P60720,metabolic,knock out,1.5193122e-07,5.358337e-14
Metabolite:hdca_c,P00490,metabolic,knock out,1.51769e-07,8.686557e-14
Metabolite:hdca_c,P37641,non-metabolic,knock out,1.5165902e-07,7.5590725e-14
Metabolite:hdca_c,P08200,metabolic,overexpress,1.5157946e-07,4.5297763e-14
Metabolite:hdca_c,P0AEE3,non-metabolic,knock out,1.5149361e-07,5.609091e-14
Metabolite:hdca_c,P0ABC0,non-metabolic,knock out,1.5146e-07,4.0878742e-14
