CPX-780	P32916 P36057
CPX-781	P23059 Q02197 Q03503
CPX-782	Q06504 Q12387
CPX-783	P07347 P12945 Q08689
CPX-813	P41912 Q06551
CPX-828	P32607 P38165
CPX-863	P32617 P35189 P40060 P40154 P43579 P53115 P53946 P60010 P80428 Q03435 Q03940 Q08561 Q12345 Q12386 Q12464
CPX-867	P06243 P32325
CPX-868	P38993 P40088
CPX-869	P38310 P43561
CPX-940	P25604 P42939 Q02767 Q99176
CPX-946	P09959 P25302
CPX-950	P09959 P39678
CPX-956	P40056 P53192 Q12154
CPX-961	P40957 P40958
CPX-962	P26309 P40958
CPX-963	P26309 P26449 P40958 P47074
CPX-964	P26448 P47113
CPX-977	P11433 P18851 P18852 P21268
CPX-995	P36132 P46984 P53323 Q03705 Q3E833
CPX-999	P32389 P40573 Q03081
CPX-1015	P32389 P40573 Q12041
CPX-1016	P17106 P32389 P40573
CPX-1018	P25656 P39524
CPX-1021	P32660 P42838
CPX-1022	P42838 Q12675
CPX-1026	P53740 Q12674
CPX-1028	P38116 P40527 P48563 Q03921
CPX-1036	P25336 P25847
CPX-1037	P25847 Q03834
CPX-1038	P39720 P52960
CPX-1039	P36104 P38123 P38337 P38827 P39706 P43132 Q03012 Q03323
CPX-1040	P17883 P35207 Q02793
CPX-1041	P35734 P36131 P36162 P53168 P53267 P69850 P69851 P69852 Q03954 Q12248
CPX-1042	P04387 P13045
CPX-1043	P04385 P04387
CPX-1044	P04386 P04387
CPX-1045	P39727 Q04651
CPX-1047	P25627 P53738
CPX-1052	P49957 P53738
CPX-1053	P29468 P32598 P35728 P36104 P39927 P42073 P42841 P45976 P53538 Q01329 Q06102 Q06224 Q06632 Q08553 Q12102
CPX-1068	Q02821 Q06142
CPX-1071	P13099 P35187 Q02685
CPX-1101	P02309 P38204 P53437 P61830 Q02983 Q08747
CPX-1102	P09938 P21524 P49723
CPX-1103	P09938 P21524 P21672 P49723
CPX-1125	Q04410 Q12191
CPX-1140	P40073 P53901 Q05080 Q07533
CPX-1141	P13393 P32333
CPX-1142	P34232 Q99257
CPX-1143	P13393 P29056 P46678
CPX-1149	P35189 P41895 P41896
CPX-1150	P09547 P18480 P18888 P22082 P32591 P35189 P38956 P43554 P53330 P53628 Q05123 Q12406
CPX-1151	P40360 Q01217
CPX-1152	P05085 P07249 P07250 P11746
CPX-1153	P35727 P40003 P48232 P53158 Q06071 Q06333
CPX-1155	O13525 P27680 P41735 P49017 P53318 Q05779
CPX-1156	P38265 P38313 P38907 P39731 P47167 P53298 Q02732 Q06162 Q06675 Q12262 Q12493 Q12748
CPX-1157	P38850 P47050 Q06164 Q06211 Q08273
CPX-1162	P07149 P19097
CPX-1165	P47050 Q01454 Q06164 Q06211 Q08273
CPX-1166	P47050 Q06211 Q06340 Q08273
CPX-1167	P47050 P50874 Q06211 Q08273
CPX-1178	P36022 P40960 Q02647 Q04949
CPX-1185	Q06151 Q12123
CPX-1186	P39731 P40568 P47149 Q12143
CPX-1187	P38313 P53298 Q02732 Q06675
CPX-1188	P34252 P47027 P53135
CPX-1189	P35732 P40352
CPX-1190	P36096 Q08232 Q12015 Q12229
CPX-1191	P06779 P31244 P53202 Q03071
CPX-1197	P43592 P46671 P53917 Q03944 Q05040 Q06001
CPX-1198	P38863 P53378 P53540
CPX-1200	P07261 P11938
CPX-1229	P07261 P11938 Q01722
CPX-1230	P32598 P53858
CPX-1231	P28006 P32598
CPX-1249	P32598 P36047
CPX-1260	P32598 P36047 P43587
CPX-1266	P32598 Q00816
CPX-1267	P32598 P38232
CPX-1268	P09624 P39726 P48015 P49095
CPX-1269	P38211 P53896
CPX-1270	P25580 P47088
CPX-1274	P32363 P46961 P53306 P53961 P62651 Q04082
CPX-1275	P38875 P39012 P41733 P49018 Q04080
CPX-1276	P02829 P0CE41 P10591 P10592 P15108 P25491 P25567
CPX-1277	P13902 P26798
CPX-1278	P0CT04 P22217
CPX-1279	P0CT04 P22803
CPX-1280	P16474 Q05787 Q99220
CPX-1283	P17967 P38888
CPX-1287	P53159 Q12365
CPX-1288	P32489 P89114
CPX-1292	P33323 Q02721
CPX-1293	P09624 P19262 P19955 P20967
CPX-1295	P40850 P53297
CPX-1302	P32334 Q06810
CPX-1303	P39552 P53176
CPX-1304	P19524 P25591 P39968
CPX-1306	P38879 Q02642
CPX-1307	P38879 P40314
CPX-1314	P03879 P11325
CPX-1315	P30771 P38798 P48412
CPX-1316	P38996 P53617 Q00416
CPX-1317	P12611 Q07800
CPX-1318	P12611 Q07949
CPX-1319	P53037 P53844
CPX-1320	P32628 Q02890
CPX-1322	P22216 P32447
CPX-1323	P25694 P32628 P54860
CPX-1331	P07266 Q9ZZW7
CPX-1332	P53063 Q02792
CPX-1333	P53853 Q07794
CPX-1335	P25343 P39743
CPX-1340	P40316 Q03018
CPX-1341	P15303 P38810
CPX-1342	P14832 P25357 P36124 P38262 P40480 P53096 P53685
CPX-1344	P32790 Q12446
CPX-1355	P38324 P38850 Q12098
CPX-1362	P06777 P06838 Q12098
CPX-1363	P06777 P06838 P39735
CPX-1364	P38632 P40026 P43124 Q03718 Q05541 Q07913 Q08204 Q12749
CPX-1370	Q03144 Q03148
CPX-1371	P53823 Q03148
CPX-1372	P32561 P53127 Q03214
CPX-1377	P47057 Q07528
CPX-1378	P47057 Q04053
CPX-1379	P53312 P53598
CPX-1380	P23594 Q04372 Q12461
CPX-1381	P38881 P39968
CPX-1382	P23595 Q04372 Q12461
CPX-1383	P36149 P38334 P46944 Q03337 Q03630 Q03784 Q99394
CPX-1384	P46676 P53685 Q12192
CPX-1386	P17122 P40511 P53061 Q06032
CPX-1387	P14291 P20050 P31111 Q04110 Q06201
CPX-1407	Q04110 Q06201
CPX-1408	P32908 P40541 P47037 Q12188
CPX-1409	P38882 P42945 P53276 Q02931 Q04177 Q04305 Q06679
CPX-1410	P25635 P40362 Q02354 Q05946 Q06078 Q12220
CPX-1412	P53741 Q01477
CPX-1413	P47111 Q12016
CPX-1414	Q12059 Q99344
CPX-1415	P21190 P39001
CPX-1417	P36084 Q12186
CPX-1418	P21372 P32605 P33203 P36084 P39682 P40018 P40204 P43321 P53207 P54999 Q00539 Q00916 Q02260 Q03776 Q03782 Q05900 Q06217 Q07508 Q12186 Q12330
CPX-1419	P06787 P32380 P33419 P36094
CPX-1420	P36094 P53865
CPX-1421	P34241 P47108 P53734 Q05942 Q08287
CPX-1422	P36097 P47168 P53038
CPX-1423	P0CS90 P32335 P39103 Q3E7B2
CPX-1424	P02557 P09733
CPX-1425	P02557 P09734
CPX-1426	P08964 P53141 Q06580
CPX-1470	P06787 Q04439
CPX-1500	P06787 P36006
CPX-1501	P06787 P32492 P53141
CPX-1556	P21951 P24279 P24482 P27344 P29469 P29496 P30665 P38132 P40359 P53091 Q03406 Q04603 Q08032 Q12146 Q12488
CPX-1599	P05750 P05756 P05759 P25443 P26783 P38011 P38701 P48589 Q01855 [O13516,P05755] [P02407,P14127] [P07280,P07281] [P0C0W1,Q3E7Y3] [P0CX30] [P0CX31,P0CX32] [P0CX33] [P0CX36,P0CX35] [P0CX38,P0CX37] [P0CX39,P0CX40] [P0CX47,P0CX48] [P0CX51,P0CX52] [P0CX55,P0CX56] [P23248,P33442] [P26786,P48164] [P32905,P46654] [P35997,P38711] [P39516,P06367] [P39938,P39939] [P41058,P41057] [Q08745,P46784] [Q3E754,P0C0V8] [Q3E792,P0C0T4] [Q3E7X9,P0C0X0]
CPX-1601	P02406 P04650 P05317 P05747 P14120 P14126 P26321 P38061 P41805 P49167 [O14455,P05745] [P02400,P05319] [P04449,P24000] [P05318,P10622] [P05737,Q12213] [P05738,P51401] [P05740,P46990] [P05743,P53221] [P05744,P41056] [P05748,P54780] [P0C0W9,Q3E757] [P0C2H6,P0C2H7] [P0C2H8,P0C2H9] [P0CH08] [P0CX23,P0CX24] [P0CX25] [P0CX27] [P0CX41,P0CX42] [P0CX43,P0CX44] [P0CX46,P0CX45] [P0CX50,P0CX49] [P0CX53,P0CX54] [P0CX82,P0CX83] [P0CX84,P0CX85] [P0CX86] [P10664,P49626] [P17076,P29453] [P26784,P26785] [P36105,P38754] [P49166,P51402] [P56628,P05749] [P87262,P40525] [Q02326,P05739] [Q02753,Q12672] [Q12690,P40212]
CPX-1602	O14464 P12687 P14063 P19956 P20084 P22353 P22354 P23369 P25348 P25626 P25642 P31334 P32387 P32388 P32611 P32904 P35996 P36516 P36517 P36519 P36520 P36521 P36523 P36525 P36526 P36527 P36528 P36531 P36532 P36533 P36534 P38064 P40858 P51998 P53163 P53724 P53875 P53881 P53921 Q02204 Q04598 Q04599 Q06090 Q06630 Q06678 Q12487
CPX-1603	O75012 P02381 P10662 P10663 P12686 P17558 P21771 P27929 P28778 P28817 P32344 P32902 P33759 P38120 P38175 P38783 P40033 P40496 P42847 P47141 P47150 P53292 P53305 P53732 P53733 P53937 Q01163 Q02608 Q02950 Q03201 Q03246 Q03430 Q03799 Q03976
CPX-1606	Q08096 Q08965
CPX-1610	P02294 P02309 P04912 P61830
CPX-1611	P02293 P02309 P04912 P61830
CPX-1612	P02293 P02309 P04911 P61830
CPX-1613	P02293 P02309 P61830 Q12692
CPX-1614	P02294 P02309 P61830 Q12692
CPX-1616	P17891 P22137
CPX-3342	P25587 Q06058
CPX-3384	P36146 P53063 Q02792 Q07845
CPX-3462	P11433 P29366 P48562
CPX-3503	P53141 Q05080 Q12280
CPX-3541	P40045 P40563
CPX-3621	P38111 Q04377
CPX-3681	P14682 P52286 Q03899 Q08273 Q12018
CPX-824	P14907 P20676 P32499 P32500 P34077 P35729 P36161 P38181 P39685 P39705 P40064 P40066 P40368 P40457 P40477 P46673 P47054 P48837 P49686 P49687 P49687 P52593 P52891 P53011 Q02199 Q02455 Q02629 Q02630 Q02647 Q03790 Q04491 Q05166 Q12315 Q12445
CPX-1839	P32629 P39107 P46985 P47124 P50108
CPX-1622	P38753 P40343
CPX-1623	P47142 Q06696 Q12483
CPX-1624	P36095 P36108 P39929 Q04272
CPX-1625	P12868 P20795 P27801 P38959 Q03308 Q07468
CPX-1626	P12868 P20795 P23643 P27801 P39702 Q03308
CPX-1627	P47104 P52286 Q03956
CPX-1628	P53550 Q12517
CPX-1629	O74700 P32830 P47045 P87108 Q08749 Q12328
CPX-1630	P10507 P11914
CPX-1631	P41814 P46959
CPX-1632	Q03774 Q12009
CPX-1633	P32773 P32774
CPX-1634	P22007 P29703
CPX-1635	P18898 P29703
CPX-1636	P20133 P32864 Q00618
CPX-1637	P13517 P28495
CPX-1638	P33767 P39007 P41543 P46964 Q02795 Q03723 Q92316 Q99380
CPX-1639	P33767 P39007 P41543 P46964 P48439 Q02795 Q92316 Q99380
CPX-1640	P14736 P32628
CPX-1641	P40359 Q03406 Q12146 Q12488
CPX-1642	P11747 P13393 P23255 P35189 P38129 P46677 P50105 P53040 Q03750 Q03761 Q04226 Q05021 Q05027 Q12030 Q12297
CPX-1643	P38242 P53178
CPX-1644	P53102 P53187
CPX-1645	P18851 P18852
CPX-1646	P08539 P18851 P18852
CPX-1647	P0C074 P49955 Q02554 Q04693 Q06835 Q99181
CPX-1648	P19736 P32524 Q07350
CPX-1649	P40565 P46947 Q07930
CPX-1651	P19736 P21374 P24384 P25337 P28004 P28320 P32523 P32524 P32639 P33334 P36048 P38241 P38302 P40018 P40565 P40567 P40968 P43321 P46947 P49955 P52868 P53277 P53333 P53769 P53854 P54999 Q02260 Q02521 Q02554 Q02770 Q02775 Q03375 Q03654 Q03772 Q04048 Q04693 Q06091 Q06217 Q07350 Q08963 Q12046 Q12309 Q12417
