CPX-4471	P21156 P23845
CPX-1932	P02916 P0AEX9 P68183 P68187
CPX-2114	P28635 P30750 P31547
CPX-4601	P23886 P29018
CPX-4602	P0A9R7 P0AC30
CPX-4681	P37674 P37675 P37676
CPX-4683	P17334 P69791 P69795
CPX-4743	P0AE95 P0AEA2
CPX-4781	P0A9I1 P69330 P75726
CPX-4783	P00895 P00904
CPX-4822	P0AEQ3 P0AEQ6 P10346
CPX-4841	P0A996 P0A9C0 P13033
CPX-4862	P0AE08 P35340
CPX-4881	P00579 P0A7Z4 P0A800 P0A8T7 P0A8V2
CPX-4883	P0A7Z4 P0A800 P0A8T7 P0A8V2 P13445
CPX-4884	P0A7Z4 P0A800 P0A8T7 P0A8V2 P24255
CPX-4885	P0A7Z4 P0A800 P0A8T7 P0A8V2 P0AGB6
CPX-4886	P0A7Z4 P0A800 P0A8T7 P0A8V2 P0AEM6
CPX-4887	P0A7Z4 P0A800 P0A8T7 P0A8V2 P0AGB3
CPX-4888	P0A7Z4 P0A800 P0A8T7 P0A8V2 P23484
CPX-4901	P00579 P0AFX4
CPX-5024	P0AEV1 P13445
CPX-5041	P09831 P09832
CPX-5046	P0AAI3 P0ABC3 P0ABC7
CPX-5056	P0A700 P0AAN3
CPX-5122	Q46799 Q46800 Q46801
CPX-5123	P0A8P6 P0A8P8
CPX-5124	P0A809 P0A812
CPX-5125	P0A809 P0A812 P0A814
CPX-5126	P0A7H3 P0A7H6
CPX-5157	P37146 P39452
CPX-5158	P60595 P60664
CPX-5159	P0A6A6 P30126
CPX-5161	P0ABR5 P0ABW0 P77650 Q47140
CPX-5201	P00960 P00961
CPX-5222	P07395 P08312
CPX-5245	P00903 P05041
CPX-5281	P24193 P30131
CPX-5283	P0AAM7 P24192 P24193
CPX-5284	P0AAM3 P24192 P24193
CPX-5285	P15005 P15006
CPX-5361	P0A6U3 P25522
CPX-5541	P06722 P23367 P23909
CPX-5542	P03018 P23367
CPX-5544	P04152 P0A7G6 P0AG11
CPX-5561	P25889 P76440
CPX-5581	P0AF32 P19318 P19319
CPX-5623	P07001 P0AB67
CPX-5625	P04391 P06960
CPX-5626	P04391 P06960
CPX-5628	P05719 P08956 P08957
CPX-5629	P17846 P38038
CPX-5674	P0A780 P0A7R5 P0A7Z4 P0A800 P0A8T7 P0A8V2 P0AFF6 P0AFG0
CPX-5681	P76082 P77467
CPX-5718	P02918 P0A9X4 P0ABG7 P0ABH4 P0AD65 P16926 P27434
CPX-5745	P0AFM6 P37344
CPX-5747	P10378 P15047
CPX-5748	P0ADI4 P10378
CPX-5762	P0DMC7 P0DMC9
CPX-5763	P0DMC7 P39404
CPX-5764	P0DMC7 P71301
CPX-5780	P03045 P0A780 P0A7R5 P0A7Z4 P0A800 P0A8T7 P0A8V2 P0AFF6 P0AFG0
CPX-5781	P0DMC7 P63204
CPX-5782	P0A855 P0A912 P0ABU9 P0ABV6 P19934
CPX-5884	P09348 P0AF06
CPX-5885	P0AC05 P0AC07 P22586 P31068 P33135 P52612 P52613 P76298 P76299
CPX-5887	P0A8T5 P0ABW9 P0ABX2 P0ABX5 P75938
CPX-5888	P43667 P76630
CPX-5890	P0ADE4 P39321
CPX-5892	P0AFM9 P0AFN2
CPX-5898	P0ABE2 P0AC69
CPX-5899	P0A9W6 P0AC69
CPX-5906	P0AES4 P62554
CPX-5908	P62552 P62554
CPX-5909	P0A8J2 P0ABS5 P0ACB0 P0AEF0 P17888 P23862
CPX-5910	P07013 P0A8J2 P0ABS5 P0ACB0 P0AEF0 P17888
CPX-5911	P09980 P0ABS5 P0ACB0 P0AEF0 P23862
CPX-5912	P05847 P0AC35
CPX-1945	P03004 P0A988 P69931
CPX-5941	P20966 P69811
CPX-5942	P37188 P69828 P69831
CPX-5943	P69783 P69786
CPX-5967	P39301 P69820 P69822
CPX-5968	P69797 P69801 P69805
CPX-5969	P05706 P56579 P56580
CPX-5979	P32154 P32155
CPX-5990	P39363 P39365 P58035
CPX-5994	P32670 P32672 P32676 P69816
CPX-6019	P0AAJ1 P76173 P77783
CPX-6020	P69210 P69212
CPX-6021	P32714 P32715 P32716
CPX-6022	P0AB74 P0C8K0
CPX-6023	P0C8J6 P0C8J8
CPX-6026	Q47156 Q47157
CPX-6028	P07658 P0AEW1 P23482 P77329 P77416 P77437 P77858
CPX-6029	P0AAJ5 P0AEL0 P32176
CPX-6035	P0A6P1 P0CE47
CPX-2140	P0A6B7 P77718
CPX-8282	P06993 P23256
CPX-1923	P0A903 P0A937 P0A940 P0AC02 P77774
CPX-1924	P03007 P06710 P0A988 P0ABS8 P10443 P28630 P28631 P28632 P28905
CPX-1925	P03007 P0ABS8 P10443
CPX-1926	P06710 P28630 P28631 P28632 P28905
CPX-1929	P16678 P16679 P16685 P16686 P16687 P16688
CPX-1931	P07014 P0AC41 P0AC44 P69054
CPX-1933	P0ABS5 P0ACB0
CPX-1934	P0ACB0 P0AEF0
CPX-1936	P06136 P0A6S5 P0A9A6 P0A9R7 P0ABG4 P0ABH0 P0AC30 P0AD68 P0AEN4 P29131 P46889 P77173
CPX-1937	P00968 P0A6F1
CPX-1944	P03004 P60422
CPX-1948	P03004 P0ABT2
CPX-1950	P03004 P0ACB0 P0AEF0
CPX-1951	P07013 P0A8J2 P0ACB0 P0AEF0 P17888
CPX-1952	P0A8J2 P0ACB0 P0AEF0 P17888 P23862
CPX-1953	P09980 P0ACB0 P0AEF0 P23862
CPX-1954	P0A988 P69931
CPX-1957	P0A6X7 P0A6Y1
CPX-1958	P0ACF0 P0ACF4
CPX-1961	P03004 P0ACF0 P0ACF4
CPX-1962	P03004 P0ACF0
CPX-1963	P03004 P66817
CPX-1967	P00363 P0A8Q0 P0A8Q3 P0AC47
CPX-1968	P12282 P30748
CPX-1970	P30748 P30749
CPX-1974	P09152 P11349 P11350
CPX-1975	P0AAJ3 P0AEK7 P24183
CPX-1978	P02916 P68183 P68187 P69783
CPX-1979	P0ACE3 P0ACF8
CPX-1980	P0ACF8 P64467
CPX-2102	P0ABI8 P0ABJ1 P0ABJ3 P0ABJ6
CPX-2104	P0A6H5 P0A7B8
CPX-2105	P06609 P06611 P37028
CPX-2106	P06609 P06611
CPX-2107	P02930 P75830 P75831
CPX-2113	P0A6F5 P0A6F9
CPX-2123	P77499 P77522 P77689
CPX-2126	P0AFM2 P14175 P14176
CPX-2134	O32583 P30138
CPX-2135	P30139 P30140
CPX-2138	P0AGF2 Q46925
CPX-2139	P0A6B7 P0A890
CPX-2141	P0A6B7 P0ACD4
CPX-2144	P0AB18 P45530 P45531 P45532
CPX-2145	P0AB18 P25745
CPX-2150	P0AG80 P10905 P10906 P10907
CPX-2151	P0A698 P0A8F8
CPX-2153	P0A8F8 P0A8G0
CPX-2155	P0A698 P30958
CPX-2177	P0AES4 P0AES6
CPX-2197	P04993 P07648 P08394
CPX-2242	P50456 P69786
CPX-2244	P0A705 P0A707 P69222
CPX-2254	P38054 P77211 P77214 P77239
CPX-2313	P0AEJ6 P19636
CPX-2508	P0A8S9 P0ABY7
CPX-2532	P0AFX7 P0AFX9 P0AGB6
CPX-2543	P03819 P0A754
CPX-2634	P37349 P76014 P76015
CPX-2843	P02929 P06971 P0ABU7 P0ABV2
CPX-2844	P76077 P76078 P76079 P76081
CPX-2853	P0A6P1 P0CE48
CPX-2855	P08189 P08190 P08191
CPX-3090	P0A756 P45522
CPX-3091	P0A786 P0A7F3
CPX-3099	P06136 P0A6S5 P0AEN4
CPX-3175	P0A6G7 P0ABH9
CPX-3176	P0A6G7 P0A6H1
CPX-3206	P0A9Q5 P0ABD5 P0ABD8 P24182
CPX-3299	P0A6S5 P0AEN4
