dataset	taxaID	locus	gene	essentiality
108	83333	alaV	alaV	NE
108	83333	alaW	alaW	NE
108	83333	alaX	alaX	NE
108	83333	aldA	aldA	NE
108	83333	aldB	aldB	NE
108	83333	alkA	alkA	NE
108	83333	alkB	alkB	NE
108	83333	allA	allA	NE
108	83333	allB	allB	NE
108	83333	allC	allC	NE
108	83333	allD	allD	NE
108	83333	allR	allR	NE
108	83333	allS	allS	NE
108	83333	alpA	alpA	NE
108	83333	alr	alr	NE
108	83333	alsA	alsA	NE
108	83333	alsB	alsB	NE
108	83333	alsC	alsC	NE
108	83333	alsE	alsE	NE
108	83333	alsK	alsK	NE
108	83333	alx	alx	NE
108	83333	amiA	amiA	NE
108	83333	amiB	amiB	NE
108	83333	amiC	amiC	NE
108	83333	amiD	amiD	NE
108	83333	amn	amn	NE
108	83333	ampC	ampC	NE
108	83333	ampD	ampD	NE
108	83333	ampE	ampE	NE
108	83333	ampG	ampG	NE
108	83333	ampH	ampH	NE
108	83333	amtB	amtB	NE
108	83333	amyA	amyA	NE
108	83333	anmK	anmK	NE
108	83333	ansA	ansA	NE
108	83333	ansB	ansB	NE
108	83333	ansP	ansP	NE
108	83333	apaG	apaG	NE
108	83333	apaH	apaH	NE
108	83333	apbE	apbE	NE
108	83333	aphA	aphA	NE
108	83333	appA	appA	NE
108	83333	appB	appB	NE
108	83333	appC	appC	NE
108	83333	appY	appY	NE
108	83333	apt	apt	NE
108	83333	aqpZ	aqpZ	NE
108	83333	araA	araA	NE
108	83333	araB	araB	NE
108	83333	araC	araC	NE
108	83333	araD	araD	NE
108	83333	araE	araE	NE
108	83333	araF	araF	NE
108	83333	araG	araG	NE
108	83333	araH	araH	NE
108	83333	araJ	araJ	NE
108	83333	arcA	arcA	NE
108	83333	arcB	arcB	NE
108	83333	arfA	arfA	NE
108	83333	arfB	arfB	NE
108	83333	argA	argA	NE
108	83333	argB	argB	NE
108	83333	argC	argC	NE
108	83333	argD	argD	NE
108	83333	argE	argE	NE
108	83333	argF	argF	NE
108	83333	argG	argG	NE
108	83333	argH	argH	NE
108	83333	argI	argI	NE
108	83333	argK	argK	NE
108	83333	argM	argM	NE
108	83333	argO	argO	NE
108	83333	argP	argP	NE
108	83333	argQ	argQ	NE
108	83333	argR	argR	NE
108	83333	argS	argS	E
108	83333	argT	argT	NE
108	83333	argU	argU	E
108	83333	argV	argV	NE
108	83333	argW	argW	C
108	83333	argX	argX	E
108	83333	argY	argY	NE
108	83333	argZ	argZ	NE
108	83333	ariR	ariR	NE
108	83333	arnA	arnA	NE
108	83333	arnB	arnB	NE
108	83333	arnC	arnC	NE
108	83333	arnD	arnD	NE
108	83333	arnE	arnE	NE
108	83333	arnF	arnF	NE
108	83333	arnT	arnT	NE
108	83333	aroA	aroA	NE
108	83333	aroB	aroB	NE
108	83333	aroC	aroC	NE
108	83333	aroD	aroD	NE
108	83333	aroE	aroE	NE
108	83333	aroF	aroF	NE
108	83333	aroG	aroG	NE
108	83333	aroH	aroH	NE
108	83333	aroI	aroI	NE
108	83333	aroK	aroK	NE
108	83333	aroL	aroL	NE
108	83333	aroM	aroM	NE
108	83333	aroP	aroP	NE
108	83333	arpA	arpA	NE
108	83333	arpB	arpB	NE
108	83333	arrS	arrS	NE
108	83333	arsB	arsB	NE
108	83333	arsC	arsC	NE
108	83333	arsR	arsR	NE
108	83333	artI	artI	NE
108	83333	artJ	artJ	NE
108	83333	artM	artM	NE
108	83333	artP	artP	NE
108	83333	artQ	artQ	NE
108	83333	ascB	ascB	NE
108	83333	ascF	ascF	NE
108	83333	ascG	ascG	NE
108	83333	asd	asd	E
108	83333	aslA	aslA	NE
108	83333	aslB	aslB	NE
108	83333	asmA	asmA	NE
108	83333	asnA	asnA	NE
108	83333	asnB	asnB	NE
108	83333	asnC	asnC	NE
108	83333	asnS	asnS	E
108	83333	asnT	asnT	NE
108	83333	asnU	asnU	NE
108	83333	asnV	asnV	NE
108	83333	asnW	asnW	NE
108	83333	aspA	aspA	NE
108	83333	aspC	aspC	NE
108	83333	aspS	aspS	E
108	83333	aspT	aspT	NE
108	83333	aspU	aspU	NE
108	83333	aspV	aspV	NE
108	83333	asr	asr	NE
108	83333	astA	astA	NE
108	83333	astB	astB	NE
108	83333	astC	astC	NE
108	83333	astD	astD	NE
108	83333	astE	astE	NE
108	83333	atoA	atoA	NE
108	83333	atoB	atoB	NE
108	83333	atoC	atoC	NE
108	83333	atoD	atoD	NE
108	83333	atoE	atoE	NE
108	83333	atoS	atoS	NE
108	83333	atpA	atpA	NE
108	83333	atpB	atpB	NE
108	83333	atpC	atpC	NE
108	83333	atpD	atpD	NE
108	83333	atpE	atpE	NE
108	83333	atpF	atpF	NE
108	83333	atpG	atpG	NE
108	83333	atpH	atpH	NE
108	83333	atpI	atpI	NE
108	83333	att$phi$80	att$phi$80	NE
108	83333	att186	att186	NE
108	83333	att253	att253	NE
108	83333	attHK022	attHK022	NE
108	83333	attHK139	attHK139	NE
108	83333	attLAM	attLAM	NE
108	83333	attP1		
108	83333	attP22	attP22	NE
108	83333	attP2H	attP2H	NE
108	83333	attP2II	attP2II	NE
108	83333	attP2III	attP2III	NE
108	83333	attP4	attP4	NE
108	83333	attPA-2	attPA-2	NE
108	83333	attTn7	attTn7	NE
108	83333	atte14	atte14	NE
108	83333	attl	attl	NE
108	83333	avtA	avtA	NE
108	83333	azaA	azaA	NE
108	83333	azaB	azaB	NE
108	83333	azl	azl	NE
108	83333	azoR	azoR	NE
108	83333	azuC	azuC	NE
108	83333	b3837	b3837	NE
108	83333	bacA	bacA	NE
108	83333	baeR	baeR	NE
108	83333	baeS	baeS	NE
108	83333	bamA	bamA	E
108	83333	bamB	bamB	NE
108	83333	bamC	bamC	NE
108	83333	bamD	bamD	E
108	83333	bamE	bamE	NE
108	83333	barA	barA	NE
108	83333	basR	basR	NE
108	83333	basS	basS	NE
108	83333	bax	bax	NE
108	83333	bcp	bcp	NE
108	83333	bcr	bcr	NE
108	83333	bcsA	bcsA	NE
108	83333	bcsB	bcsB	NE
108	83333	bcsC	bcsC	NE
108	83333	bcsE	bcsE	NE
108	83333	bcsF	bcsF	NE
